column,level,count,percent_of_rows,laundering_positive_rate
type,DEBIT,435414,39.9399,0.0
type,TRANSFER,273895,25.124,0.006174
type,BPAY,163352,14.9841,0.0
type,OSKO,108560,9.9581,0.0
type,EFTPOS,54255,4.9767,0.0
type,NPP,32852,3.0135,0.0
type,CASH_OUT,21790,1.9988,0.0
type,PAYMENT,54,0.005,1.0
category,Other,239827,21.999,0.006288
category,Housing,217137,19.9177,0.0
category,Food,184575,16.9308,0.0
category,Transport,163887,15.0331,0.0
category,Recreation,141694,12.9974,0.000882
category,Healthcare,65705,6.027,0.0
category,Education,43707,4.0092,0.0
category,Utilities,32485,2.9798,0.0
category,Shell Company,1132,0.1038,0.078622
category,Property Investment,18,0.0017,1.0
category,Cryptocurrency,5,0.0005,1.0
