column,dtype,missing_count,missing_percent,unique_values,min,max,mean,median,std
step,int32,0,0.0,8,0.0,7.0,0.0004063578958182745,0.0,0.04068830824539728
type,category,0,0.0,8,,,,,
amount,float32,0,0.0,1073398,12.521305084228516,204941.21875,654.622802734375,172.514892578125,1336.9947509765625
category,category,0,0.0,11,,,,,
nameOrig,string,0,0.0,10000,,,,,
nameDest,string,0,0.0,11000,,,,,
oldbalanceOrg,float32,0,0.0,1046573,37.16899108886719,520513.5625,303653.90625,305230.0,94172.46875
newbalanceOrig,float32,0,0.0,1046678,1.4063254594802856,499400.53125,302999.28125,304581.1875,94189.0546875
isFraud,int8,0,0.0,2,0.0,1.0,0.001600664849216454,0.0,0.039976295315802435
isMoneyLaundering,int8,0,0.0,2,0.0,1.0,0.001600664849216454,0.0,0.039976295315802435
laundering_typology,category,0,0.0,4,,,,,
fraud_probability,float32,10172,0.933064,198,0.0,1.0,0.02571500651538372,0.0,0.035121943801641464
hour,int8,0,0.0,24,0.0,23.0,11.493726677992097,11.0,6.911962010806646
day_of_week,int8,0,0.0,7,0.0,6.0,2.313389079888311,2.0,1.7853137394502099
day_of_month,int8,0,0.0,31,1.0,31.0,15.672022396465879,16.0,8.73033452217052
month,int8,0,0.0,7,2.0,8.0,4.620028766102964,5.0,1.7292920619633785
