encoded_feature,feature_group,importance,importance_type
categorical__type_TRANSFER,type,0.6091133,Gini / gain importance
categorical__category_Housing,category,0.0677034,Gini / gain importance
categorical__type_PAYMENT,type,0.04929296,Gini / gain importance
categorical__category_Other,category,0.043562017,Gini / gain importance
numeric__log_amount,log_amount,0.036341026,Gini / gain importance
numeric__amount_to_oldbalance_ratio,amount_to_oldbalance_ratio,0.02791966,Gini / gain importance
categorical__category_Recreation,category,0.020329012,Gini / gain importance
categorical__category_Education,category,0.020131566,Gini / gain importance
numeric__balance_change_to_oldbalance_ratio,balance_change_to_oldbalance_ratio,0.01397425,Gini / gain importance
numeric__amount,amount,0.013947382,Gini / gain importance
categorical__category_Food,category,0.013786898,Gini / gain importance
categorical__category_Transport,category,0.013490424,Gini / gain importance
categorical__category_Shell Company,category,0.011418165,Gini / gain importance
numeric__amount_to_newbalance_ratio,amount_to_newbalance_ratio,0.009687859,Gini / gain importance
categorical__category_Healthcare,category,0.008202421,Gini / gain importance
numeric__balance_change_orig,balance_change_orig,0.0068966765,Gini / gain importance
numeric__log_abs_balance_change,log_abs_balance_change,0.005554609,Gini / gain importance
categorical__type_DEBIT,type,0.005396103,Gini / gain importance
categorical__category_Utilities,category,0.0033855976,Gini / gain importance
categorical__type_BPAY,type,0.0023860398,Gini / gain importance
numeric__log_oldbalanceOrg,log_oldbalanceOrg,0.0022157708,Gini / gain importance
numeric__log_newbalanceOrig,log_newbalanceOrig,0.0020555353,Gini / gain importance
numeric__month,month,0.0018591685,Gini / gain importance
numeric__hour,hour,0.001780319,Gini / gain importance
categorical__type_OSKO,type,0.0017586634,Gini / gain importance
numeric__newbalanceOrig,newbalanceOrig,0.0016614243,Gini / gain importance
numeric__day_of_week,day_of_week,0.0015201169,Gini / gain importance
numeric__day_of_month,day_of_month,0.0015171191,Gini / gain importance
numeric__balance_change_minus_amount,balance_change_minus_amount,0.0015120555,Gini / gain importance
numeric__oldbalanceOrg,oldbalanceOrg,0.0014658063,Gini / gain importance
categorical__type_EFTPOS,type,9.506771e-05,Gini / gain importance
categorical__category_Property Investment,category,3.968297e-05,Gini / gain importance
numeric__is_zero_oldbalanceOrg,is_zero_oldbalanceOrg,0.0,Gini / gain importance
categorical__type_CASH_OUT,type,0.0,Gini / gain importance
numeric__is_zero_newbalanceOrig,is_zero_newbalanceOrig,0.0,Gini / gain importance
categorical__category_Cryptocurrency,category,0.0,Gini / gain importance
categorical__type_NPP,type,0.0,Gini / gain importance
