feature_group,importance,importance_percent
type,0.6680421,66.8042
category,0.20204918,20.2049
log_amount,0.036341026,3.6341
amount_to_oldbalance_ratio,0.02791966,2.792
balance_change_to_oldbalance_ratio,0.01397425,1.3974
amount,0.013947382,1.3947
amount_to_newbalance_ratio,0.009687859,0.9688
balance_change_orig,0.0068966765,0.6897
log_abs_balance_change,0.005554609,0.5555
log_oldbalanceOrg,0.0022157708,0.2216
log_newbalanceOrig,0.0020555353,0.2056
month,0.0018591685,0.1859
hour,0.001780319,0.178
newbalanceOrig,0.0016614243,0.1661
day_of_week,0.0015201169,0.152
day_of_month,0.0015171191,0.1517
balance_change_minus_amount,0.0015120555,0.1512
oldbalanceOrg,0.0014658063,0.1466
is_zero_oldbalanceOrg,0.0,0.0
is_zero_newbalanceOrig,0.0,0.0
