feature_group,builtin_percent,shap_percent,permutation_importance_mean,builtin_rank,shap_rank,permutation_rank
category,20.2049,41.0208,0.7342686338453112,2.0,1.0,1.0
type,66.8042,16.4942,0.5238102382918075,1.0,2.0,2.0
amount,1.3947,6.2208,0.013168648283191087,6.0,3.0,4.0
amount_to_oldbalance_ratio,2.792,5.8801,0.01947307883124394,4.0,4.0,3.0
balance_change_minus_amount,0.1512,3.8826,0.00033711168121941526,17.0,5.0,15.0
month,0.1859,3.1919,0.0023818941730700425,12.0,6.0,6.0
hour,0.178,3.1091,0.00257982749117005,13.0,7.0,5.0
balance_change_orig,0.6897,3.0544,0.0011949040475733419,8.0,8.0,11.0
day_of_month,0.1517,2.933,0.0018801655872313638,16.0,9.0,8.0
oldbalanceOrg,0.1466,2.6799,0.001777456041617631,18.0,10.0,9.0
newbalanceOrig,0.1661,2.5482,0.0012696736372896922,14.0,11.0,10.0
day_of_week,0.152,1.8077,0.00036723496737469665,15.0,12.0,14.0
log_oldbalanceOrg,0.2216,1.7423,0.0021249903233302226,10.0,13.0,7.0
balance_change_to_oldbalance_ratio,1.3974,1.2756,3.8441811370049096e-05,5.0,14.0,16.0
log_amount,3.6341,1.259,0.0008766224275092327,3.0,15.0,12.0
amount_to_newbalance_ratio,0.9688,1.2262,-8.946100709301685e-05,7.0,16.0,19.0
log_newbalanceOrig,0.2056,1.1592,0.00039277697699717783,11.0,17.0,13.0
log_abs_balance_change,0.5555,0.5152,-0.0005251806885720356,9.0,18.0,20.0
is_zero_newbalanceOrig,0.0,0.0,0.0,19.5,19.5,17.5
is_zero_oldbalanceOrg,0.0,0.0,0.0,19.5,19.5,17.5
