feature,permutation_importance_mean,permutation_importance_std,rank
category,0.7342686338453112,0.028989798883883474,1
type,0.5238102382918075,0.014456679619028748,2
amount_to_oldbalance_ratio,0.01947307883124394,0.004012472492860889,3
amount,0.013168648283191087,0.002591914736102261,4
hour,0.00257982749117005,0.0006694549166666135,5
month,0.0023818941730700425,0.0009146604274474085,6
log_oldbalanceOrg,0.0021249903233302226,0.0005407489704698277,7
day_of_month,0.0018801655872313638,0.001122086195642044,8
oldbalanceOrg,0.001777456041617631,0.0015097028912090843,9
newbalanceOrig,0.0012696736372896922,0.0011542133253643878,10
balance_change_orig,0.0011949040475733419,0.0009794208041018792,11
log_amount,0.0008766224275092327,0.00035574730819279643,12
log_newbalanceOrig,0.00039277697699717783,0.00023445265530286474,13
day_of_week,0.00036723496737469665,0.0007293854602387191,14
balance_change_minus_amount,0.00033711168121941526,0.0012473468607652261,15
balance_change_to_oldbalance_ratio,3.8441811370049096e-05,0.0009789234265862646,16
is_zero_oldbalanceOrg,0.0,0.0,17
is_zero_newbalanceOrig,0.0,0.0,18
amount_to_newbalance_ratio,-8.946100709301685e-05,0.0005630673224633745,19
log_abs_balance_change,-0.0005251806885720356,0.0002584759843443577,20
