encoded_feature,feature_group,mean_abs_shap,mean_shap
categorical__category_Housing,category,2.579093,-2.579093
categorical__type_PAYMENT,type,0.9021295,0.9021295
categorical__category_Education,category,0.8305003,-0.8305003
numeric__amount,amount,0.7146203,0.064307846
numeric__amount_to_oldbalance_ratio,amount_to_oldbalance_ratio,0.67548215,-0.37381697
categorical__type_DEBIT,type,0.46462446,-0.46462446
numeric__balance_change_minus_amount,balance_change_minus_amount,0.44601485,-0.40905893
categorical__category_Food,category,0.414404,-0.414404
numeric__month,month,0.36666802,-0.28807065
numeric__hour,hour,0.35716623,-0.30790535
numeric__balance_change_orig,balance_change_orig,0.35087174,0.119133495
categorical__type_TRANSFER,type,0.3409316,0.3409316
numeric__day_of_month,day_of_month,0.3369296,-0.25797018
categorical__category_Shell Company,category,0.33092257,0.30476144
numeric__oldbalanceOrg,oldbalanceOrg,0.30786127,-0.2164119
numeric__newbalanceOrig,newbalanceOrig,0.2927243,-0.1768394
categorical__category_Other,category,0.26381186,0.26031086
categorical__category_Utilities,category,0.20796572,-0.20796572
numeric__day_of_week,day_of_week,0.20765787,-0.19337387
numeric__log_oldbalanceOrg,log_oldbalanceOrg,0.2001437,-0.105530344
numeric__balance_change_to_oldbalance_ratio,balance_change_to_oldbalance_ratio,0.14653389,-0.06910558
numeric__log_amount,log_amount,0.1446275,0.06321969
numeric__amount_to_newbalance_ratio,amount_to_newbalance_ratio,0.14085932,-0.08296884
numeric__log_newbalanceOrig,log_newbalanceOrig,0.13316584,-0.06378015
categorical__type_BPAY,type,0.09831126,-0.09831126
categorical__type_OSKO,type,0.087052196,-0.087052196
numeric__log_abs_balance_change,log_abs_balance_change,0.05918422,0.0014453378
categorical__category_Transport,category,0.044170883,-0.044170883
categorical__category_Recreation,category,0.03590578,0.03590578
categorical__category_Healthcare,category,0.0051739453,-0.0051739453
categorical__type_EFTPOS,type,0.0017339588,-0.00052365096
categorical__category_Property Investment,category,0.0003497572,0.0003497572
numeric__is_zero_oldbalanceOrg,is_zero_oldbalanceOrg,0.0,0.0
categorical__type_CASH_OUT,type,0.0,0.0
numeric__is_zero_newbalanceOrig,is_zero_newbalanceOrig,0.0,0.0
categorical__category_Cryptocurrency,category,0.0,0.0
categorical__type_NPP,type,0.0,0.0
