feature_group,mean_abs_shap,contribution_percent,rank
category,4.712298,41.0208,1
type,1.8947829,16.4942,2
amount,0.7146203,6.2208,3
amount_to_oldbalance_ratio,0.67548215,5.8801,4
balance_change_minus_amount,0.44601485,3.8826,5
month,0.36666802,3.1919,6
hour,0.35716623,3.1091,7
balance_change_orig,0.35087174,3.0544,8
day_of_month,0.3369296,2.933,9
oldbalanceOrg,0.30786127,2.6799,10
newbalanceOrig,0.2927243,2.5482,11
day_of_week,0.20765787,1.8077,12
log_oldbalanceOrg,0.2001437,1.7423,13
balance_change_to_oldbalance_ratio,0.14653389,1.2756,14
log_amount,0.1446275,1.259,15
amount_to_newbalance_ratio,0.14085932,1.2262,16
log_newbalanceOrig,0.13316584,1.1592,17
log_abs_balance_change,0.05918422,0.5152,18
is_zero_oldbalanceOrg,0.0,0.0,19
is_zero_newbalanceOrig,0.0,0.0,20
