feature_name,feature_group
amount,Numeric
oldbalanceOrg,Numeric
newbalanceOrig,Numeric
hour,Numeric
day_of_week,Numeric
day_of_month,Numeric
month,Numeric
balance_change_orig,Numeric
balance_change_minus_amount,Numeric
amount_to_oldbalance_ratio,Numeric
amount_to_newbalance_ratio,Numeric
balance_change_to_oldbalance_ratio,Numeric
is_zero_oldbalanceOrg,Numeric
is_zero_newbalanceOrig,Numeric
log_amount,Numeric
log_oldbalanceOrg,Numeric
log_newbalanceOrig,Numeric
log_abs_balance_change,Numeric
type,Categorical
category,Categorical
