model_name,split,threshold,accuracy,precision,recall,f1_score,pr_auc_average_precision,roc_auc,true_positives,false_positives,false_negatives,true_negatives,positives_in_split,predicted_positive_alerts,alert_rate_percent,alerts_per_10k_transactions
XGBoost_class_weight,validation,0.01,0.9610826412925162,0.03940217391304348,0.9961832061068703,0.07580598315422597,0.9467937540721271,0.999320026048758,261,6363,1,156901,262,6624,4.050732,405.07
XGBoost_class_weight,validation,0.02,0.9712767388672138,0.05247225025227043,0.9923664122137404,0.09967414222733371,0.9467937540721271,0.999320026048758,260,4695,2,158569,262,4955,3.030099,303.01
XGBoost_class_weight,validation,0.03,0.9770128297640742,0.06450809464508095,0.9885496183206107,0.12111292962356793,0.9467937540721271,0.999320026048758,259,3756,3,159508,262,4015,2.455267,245.53
XGBoost_class_weight,validation,0.04,0.9804740530557832,0.07509423021165555,0.9885496183206107,0.13958501751549449,0.9467937540721271,0.999320026048758,259,3190,3,160074,262,3449,2.109145,210.91
XGBoost_class_weight,validation,0.05,0.9831647566747795,0.08607510800930541,0.9885496183206107,0.15836135738306328,0.9467937540721271,0.999320026048758,259,2750,3,160514,262,3009,1.840074,184.01
XGBoost_class_weight,validation,0.06,0.9850360187370816,0.09581945985941547,0.9885496183206107,0.17470489038785836,0.9467937540721271,0.999320026048758,259,2444,3,160820,262,2703,1.652948,165.29
XGBoost_class_weight,validation,0.07,0.9865954037889999,0.10580065359477124,0.9885496183206107,0.19114391143911438,0.9467937540721271,0.999320026048758,259,2189,3,161075,262,2448,1.49701,149.7
XGBoost_class_weight,validation,0.08,0.9878796032435209,0.11572832886505809,0.9885496183206107,0.2072,0.9467937540721271,0.999320026048758,259,1979,3,161285,262,2238,1.36859,136.86
XGBoost_class_weight,validation,0.09,0.988943654220124,0.125484496124031,0.9885496183206107,0.2226999140154772,0.9467937540721271,0.999320026048758,259,1805,3,161459,262,2064,1.262185,126.22
XGBoost_class_weight,validation,0.1,0.9899037461932659,0.13581541688515994,0.9885496183206107,0.23881973259566622,0.9467937540721271,0.999320026048758,259,1648,3,161616,262,1907,1.166175,116.62
XGBoost_class_weight,validation,0.11,0.9904663478590561,0.14230557087699944,0.9847328244274809,0.24867469879518073,0.9467937540721271,0.999320026048758,258,1555,4,161709,262,1813,1.108692,110.87
XGBoost_class_weight,validation,0.12,0.9911145628218143,0.15114235500878734,0.9847328244274809,0.26206196038598273,0.9467937540721271,0.999320026048758,258,1449,4,161815,262,1707,1.043871,104.39
XGBoost_class_weight,validation,0.13,0.9916037816616318,0.1585740626920713,0.9847328244274809,0.27316040232927474,0.9467937540721271,0.999320026048758,258,1369,4,161895,262,1627,0.994949,99.49
XGBoost_class_weight,validation,0.14,0.9921480376209287,0.16731770833333334,0.9809160305343512,0.28587319243604004,0.9467937540721271,0.999320026048758,257,1279,5,161985,262,1536,0.9393,93.93
XGBoost_class_weight,validation,0.15,0.9925822193412668,0.17542662116040955,0.9809160305343512,0.29762594093804284,0.9467937540721271,0.999320026048758,257,1208,5,162056,262,1465,0.895882,89.59
XGBoost_class_weight,validation,0.16,0.9930897838875775,0.1855072463768116,0.9770992366412213,0.3118148599269184,0.9467937540721271,0.999320026048758,256,1124,6,162140,262,1380,0.843902,84.39
XGBoost_class_weight,validation,0.17,0.9934995046659247,0.19497334348819498,0.9770992366412213,0.3250793650793651,0.9467937540721271,0.999320026048758,256,1057,6,162207,262,1313,0.80293,80.29
XGBoost_class_weight,validation,0.18,0.9939153406797696,0.20562248995983937,0.9770992366412213,0.33974784339747843,0.9467937540721271,0.999320026048758,256,989,6,162275,262,1245,0.761347,76.13
XGBoost_class_weight,validation,0.19,0.9941782958061715,0.2125,0.9732824427480916,0.3488372093023256,0.9467937540721271,0.999320026048758,255,945,7,162319,262,1200,0.733828,73.38
XGBoost_class_weight,validation,0.2,0.9944901728165552,0.22193211488250653,0.9732824427480916,0.3614457831325301,0.9467937540721271,0.999320026048758,255,894,7,162370,262,1149,0.702641,70.26
XGBoost_class_weight,validation,0.21,0.9948020498269389,0.23175182481751824,0.9694656488549618,0.374079528718704,0.9467937540721271,0.999320026048758,254,842,8,162422,262,1096,0.67023,67.02
XGBoost_class_weight,validation,0.22,0.9950466592468475,0.24053030303030304,0.9694656488549618,0.38543247344461307,0.9467937540721271,0.999320026048758,254,802,8,162462,262,1056,0.645769,64.58
XGBoost_class_weight,validation,0.23,0.9953463057862358,0.2522343594836147,0.9694656488549618,0.40031520882584715,0.9467937540721271,0.999320026048758,254,753,8,162511,262,1007,0.615804,61.58
XGBoost_class_weight,validation,0.24,0.9955358780866651,0.26024590163934425,0.9694656488549618,0.41033925686591277,0.9467937540721271,0.999320026048758,254,722,8,162542,262,976,0.596847,59.68
XGBoost_class_weight,validation,0.25,0.9957193351515967,0.26849894291754756,0.9694656488549618,0.4205298013245033,0.9467937540721271,0.999320026048758,254,692,8,162572,262,946,0.578501,57.85
XGBoost_class_weight,validation,0.26,0.9959333683940168,0.278814489571899,0.9694656488549618,0.43307757885763,0.9467937540721271,0.999320026048758,254,657,8,162607,262,911,0.557098,55.71
XGBoost_class_weight,validation,0.27,0.9961107102234507,0.28798185941043086,0.9694656488549618,0.44405594405594406,0.9467937540721271,0.999320026048758,254,628,8,162636,262,882,0.539364,53.94
XGBoost_class_weight,validation,0.28,0.9962574758753959,0.29603729603729606,0.9694656488549618,0.45357142857142857,0.9467937540721271,0.999320026048758,254,604,8,162660,262,858,0.524687,52.47
XGBoost_class_weight,validation,0.29,0.9963920110563458,0.30335731414868106,0.9656488549618321,0.46167883211678834,0.9467937540721271,0.999320026048758,253,581,9,162683,262,834,0.510011,51.0
XGBoost_class_weight,validation,0.3,0.9965693528857796,0.3142857142857143,0.9656488549618321,0.4742268041237113,0.9467937540721271,0.999320026048758,253,552,9,162712,262,805,0.492276,49.23
XGBoost_class_weight,validation,0.31,0.9967100033022271,0.3235294117647059,0.9656488549618321,0.4846743295019157,0.9467937540721271,0.999320026048758,253,529,9,162735,262,782,0.478211,47.82
XGBoost_class_weight,validation,0.32,0.9968078470701907,0.3302872062663185,0.9656488549618321,0.49221789883268485,0.9467937540721271,0.999320026048758,253,513,9,162751,262,766,0.468427,46.84
XGBoost_class_weight,validation,0.33,0.9969118060736519,0.3377837116154873,0.9656488549618321,0.5004945598417408,0.9467937540721271,0.999320026048758,253,496,9,162768,262,749,0.458031,45.8
XGBoost_class_weight,validation,0.34,0.9970157650771131,0.3452054794520548,0.9618320610687023,0.5080645161290323,0.9467937540721271,0.999320026048758,252,478,10,162786,262,730,0.446412,44.64
XGBoost_class_weight,validation,0.35,0.997150300258063,0.3559322033898305,0.9618320610687023,0.5195876288659794,0.9467937540721271,0.999320026048758,252,456,10,162808,262,708,0.432959,43.3
XGBoost_class_weight,validation,0.36,0.9973031811455059,0.3689604685212299,0.9618320610687023,0.5333333333333333,0.9467937540721271,0.999320026048758,252,431,10,162833,262,683,0.417671,41.77
XGBoost_class_weight,validation,0.37,0.9974254858554603,0.38009049773755654,0.9618320610687023,0.5448648648648649,0.9467937540721271,0.999320026048758,252,411,10,162853,262,663,0.40544,40.54
XGBoost_class_weight,validation,0.38,0.9975233296234238,0.3894899536321484,0.9618320610687023,0.5544554455445545,0.9467937540721271,0.999320026048758,252,395,10,162869,262,647,0.395656,39.57
XGBoost_class_weight,validation,0.39,0.9976334038623828,0.4003189792663477,0.9580152671755725,0.5646794150731158,0.9467937540721271,0.999320026048758,251,376,11,162888,262,627,0.383425,38.34
XGBoost_class_weight,validation,0.4,0.9976945562173599,0.406807131280389,0.9580152671755725,0.571103526734926,0.9467937540721271,0.999320026048758,251,366,11,162898,262,617,0.37731,37.73
XGBoost_class_weight,validation,0.41,0.9977862847498257,0.4169435215946844,0.9580152671755725,0.5810185185185185,0.9467937540721271,0.999320026048758,251,351,11,162913,262,602,0.368137,36.81
XGBoost_class_weight,validation,0.42,0.9978596675757984,0.42542372881355933,0.9580152671755725,0.5892018779342723,0.9467937540721271,0.999320026048758,251,339,11,162925,262,590,0.360799,36.08
XGBoost_class_weight,validation,0.43,0.9979452808727665,0.4357638888888889,0.9580152671755725,0.5990453460620525,0.9467937540721271,0.999320026048758,251,325,11,162939,262,576,0.352238,35.22
